Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Trabzonspor,Alanyaspor,A,4-2-3-1,3-4-3,1,André Onana,Wagner Pina,Chibuike Nwaiwu,Stefan Savić,Mustafa Eskihellaç,Christ Inao Oulaï,Tim Jabol-Folcarelli,Oleksandr Zubkov,Ozan Tufan,Anthony Nwakaeme,Felipe Augusto,Paulo Victor,Nuno Lima,Fidan Aliti,Ümit Akdağ,Enes Keskin,Nicolas Janvier,Gaius Makouta,Ruan,Efecan Karaca,Güven Yalçın,Ui-Jo Hwang,6.4,6.8,7.1,7.2,6.5,7.2,6.6,7.6,6.9,6.2,6.3,6.8,6.6,6.8,6.7,6.7,7.0,6.8,6.7,6.6,7.2,6.6,1,1,2,17,5,565,7,8,0.59,1,8,2,389,9,12,0.41
Trabzonspor,Eyüpspor,A,4-4-2,4-3-3,3,André Onana,Ozan Tufan,Chibuike Nwaiwu,Stefan Savić,Mathias Løvik,Oleksandr Zubkov,Christ Inao Oulaï,Tim Jabol-Folcarelli,Ernest Muçi,Umut Nayir,Paul Onuachu,Marcos Felipe,Calegari,Bedirhan Özyurt,Seyfettin Anıl Yaşar,Umut Meraş,Ángel Torres,Baran Ali Gezek,Mateusz Łęgowski,Denis Radu,Umut Bozok,Metehan Altunbaş,7.5,7.0,7.4,7.2,6.8,7.9,6.8,6.9,6.5,6.7,6.2,6.7,6.8,6.3,6.7,7.1,7.2,6.6,5.8,7.1,7.0,6.3,1,0,2,10,5,453,24,17,0.5,1,7,1,458,18,15,0.5
Trabzonspor,Eyüpspor,A,4-4-2,4-3-3,3,André Onana,Ozan Tufan,Chibuike Nwaiwu,Stefan Savić,Mathias Løvik,Oleksandr Zubkov,Christ Inao Oulaï,Tim Jabol-Folcarelli,Ernest Muçi,Umut Nayir,Paul Onuachu,Marcos Felipe,Calegari,Bedirhan Özyurt,Seyfettin Anıl Yaşar,Umut Meraş,Ángel Torres,Baran Ali Gezek,Mateusz Łęgowski,Denis Radu,Umut Bozok,Metehan Altunbaş,7.5,7.0,7.4,7.2,6.8,7.9,6.8,6.9,6.5,6.7,6.2,6.7,6.8,6.3,6.7,7.1,7.2,6.6,5.8,7.1,7.0,6.3,1,0,2,10,5,453,24,17,0.5,1,7,1,458,18,15,0.5
Trabzonspor,Kayserispor,A,4-2-3-1,4-2-3-1,3,André Onana,Wagner Pina,Stefan Savić,Arseniy Batagov,Mustafa Eskihellaç,Christ Inao Oulaï,Ozan Tufan,Oleksandr Zubkov,Felipe Augusto,Ernest Muçi,Paul Onuachu,Bilal Bayazit,Joshua Brenet,Semih Güler,Stefano Denswil,Ramazan Civelek,Dorukhan Toköz,László Bénes,Denis Makarov,Miguel Cardoso,Furkan Soyalp,Fedor Chalov,7.5,7.3,7.2,7.3,6.8,7.4,6.5,7.3,6.5,7.1,7.9,7.0,6.1,7.5,6.6,6.2,3.0,8.0,6.5,7.4,6.5,7.0,3,1,4,18,8,634,10,7,0.68,3,14,6,288,11,9,0.32
Trabzonspor,Gaziantep FK,A,3-4-1-2,4-4-2,3,André Onana,Chibuike Nwaiwu,Stefan Savić,Arseniy Batagov,Wagner Pina,Christ Inao Oulaï,Tim Jabol-Folcarelli,Mustafa Eskihellaç,Ernest Muçi,Felipe Augusto,Paul Onuachu,Zafer Görgen,Luis Pérez,Tayyip Talha Sanuç,Arda Kızıldağ,Kévin Rodrigues,Kacper Kozłowski,Ogün Özçiçek,Alexandru Maxim,Christophe Lungoyi,Mohamed Bayo,Karamba Gassama,9.0,6.4,7.1,7.1,6.4,6.4,6.7,6.7,7.0,7.1,7.9,6.8,7.0,6.5,6.7,7.1,6.5,6.7,7.9,6.6,7.5,7.6,2,1,4,13,4,390,17,11,0.46,2,15,11,443,11,16,0.54
Trabzonspor,Fenerbahçe,H,4-2-3-1,4-3-1-2,0,André Onana,Wagner Pina,Chibuike Nwaiwu,Arseniy Batagov,Mathias Løvik,Christ Inao Oulaï,Tim Jabol-Folcarelli,Felipe Augusto,Ernest Muçi,Mustafa Eskihellaç,Paul Onuachu,Ederson,Nélson Semedo,Milan Škriniar,Jayden Oosterwolde,Mert Müldür,N'Golo Kanté,Mattéo Guendouzi,İsmail Yüksek,Marco Asensio,Anderson Talisca,Kerem Aktürkoğlu,5.9,6.1,7.2,6.3,6.0,6.8,7.4,6.5,7.4,6.5,8.2,6.5,6.5,5.9,6.0,6.2,6.4,7.0,6.4,8.2,7.5,7.7,2,3,4,17,7,412,16,14,0.58,1,9,7,296,10,16,0.42
Trabzonspor,Fenerbahçe,H,4-2-3-1,4-3-1-2,0,André Onana,Wagner Pina,Chibuike Nwaiwu,Arseniy Batagov,Mathias Løvik,Christ Inao Oulaï,Tim Jabol-Folcarelli,Felipe Augusto,Ernest Muçi,Mustafa Eskihellaç,Paul Onuachu,Ederson,Nélson Semedo,Milan Škriniar,Jayden Oosterwolde,Mert Müldür,N'Golo Kanté,Mattéo Guendouzi,İsmail Yüksek,Marco Asensio,Anderson Talisca,Kerem Aktürkoğlu,5.9,6.1,7.2,6.3,6.0,6.8,7.4,6.5,7.4,6.5,8.2,6.5,6.5,5.9,6.0,6.2,6.4,7.0,6.4,8.2,7.5,7.7,2,3,4,17,7,412,16,14,0.58,1,9,7,296,10,16,0.42
Trabzonspor,Samsunspor,A,4-2-3-1,4-1-4-1,3,André Onana,Wagner Pina,Chibuike Nwaiwu,Arseniy Batagov,Mathias Løvik,Christ Inao Oulaï,Tim Jabol-Folcarelli,Felipe Augusto,Ernest Muçi,Mustafa Eskihellaç,Paul Onuachu,Okan Kocuk,Zeki Yavru,Ľubomír Šatka,Rick Van Drongelen,Logi Tomasson,Antoine Makoumbou,Carlo Holse,Celil Yüksel,Olivier Ntcham,Jaures Assoumou,Cherif Ndiaye,7.2,7.3,7.2,8.2,6.7,7.5,6.7,6.7,7.9,7.7,8.5,7.5,5.8,6.9,6.4,6.5,6.9,6.7,6.4,6.7,6.2,6.4,3,0,3,17,1,419,20,13,0.47,0,11,8,451,22,12,0.53
Trabzonspor,Antalyaspor,A,4-4-2,4-1-4-1,1,André Onana,Wagner Pina,Chibuike Nwaiwu,Arseniy Batagov,Mathias Løvik,Oleksandr Zubkov,Christ Inao Oulaï,Tim Jabol-Folcarelli,Ernest Muçi,Paul Onuachu,Felipe Augusto,Julián Cuesta,Bünyamin Balcı,Veysel Sarı,Hüseyin Türkmen,Kenneth Paal,Soner Dikmen,Samuel Ballet,Dario Šarić,Ramzi Safuri,Samet Karakoc,Sander van de Streek,6.5,6.9,7.0,7.8,6.2,6.6,6.5,7.3,6.5,6.6,6.4,7.4,6.6,6.7,5.9,6.4,6.4,6.1,6.4,6.8,6.0,7.9,1,1,2,14,9,458,22,17,0.69,1,4,3,206,17,12,0.31
Trabzonspor,Kasımpaşa,H,4-2-3-1,4-1-4-1,3,André Onana,Wagner Pina,Chibuike Nwaiwu,Arseniy Batagov,Mathias Løvik,Christ Inao Oulaï,Tim Jabol-Folcarelli,Oleksandr Zubkov,Ernest Muçi,Kazeem Olaigbe,Felipe Augusto,Andreas Gianniotis,Cláudio Winck,Rodrigo Becão,Nicholas Opoku,Godfried Frimpong,Kerem Demirbay,Mamadou Fall,İrfan Can Kahveci,Mortadha Ben Ouanes,Fousseni Diabaté,Kubilay Kanatsızkuş,7.0,6.6,7.4,8.0,6.6,7.7,7.1,7.8,5.9,6.5,6.2,6.3,6.8,6.5,6.3,6.2,7.6,6.6,7.2,6.3,7.5,7.0,2,1,1,15,3,499,11,13,0.57,1,6,3,383,18,18,0.43
Trabzonspor,Kocaelispor,A,4-2-3-1,4-2-3-1,3,André Onana,Wagner Pina,Chibuike Nwaiwu,Arseniy Batagov,Mustafa Eskihellaç,Christ Inao Oulaï,Tim Jabol-Folcarelli,Oleksandr Zubkov,Ernest Muçi,Kazeem Olaigbe,Felipe Augusto,Aleksandar Jovanović,Ahmet Oğuz,Anfernee Dijksteel,Hrvoje Smolčić,Massadio Haïdara,Tayfur Bingöl,Karol Linetty,Daniel Agyei,Darko Churlinov,Rigoberto Rivas,Bruno Petković,6.5,6.8,7.7,7.4,7.2,7.2,6.9,7.0,7.6,6.6,7.1,6.9,6.6,6.4,6.9,6.2,6.3,6.0,6.1,6.3,6.2,8.4,2,1,2,10,3,465,30,16,0.56,1,17,4,350,19,14,0.44
Trabzonspor,Galatasaray,A,4-1-4-1,4-2-3-1,0,André Onana,Wagner Pina,Serdar Saatçı,Arseniy Batagov,Ozan Tufan,Benjamin Bouchouari,Oleksandr Zubkov,Ernest Muçi,Tim Jabol-Folcarelli,Kazeem Olaigbe,Felipe Augusto,Uğurcan Çakır,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Eren Elmalı,İlkay Gündoğan,Gabriel Sara,Leroy Sané,Yunus Akgün,Barış Alper Yılmaz,Mauro Icardi,7.2,6.2,5.9,5.7,5.9,6.4,6.8,6.4,6.4,6.6,7.8,7.2,6.9,6.6,6.7,7.9,7.2,7.5,7.6,7.7,7.5,7.5,1,4,2,12,4,307,14,7,0.36,7,15,7,547,16,4,0.64
Trabzonspor,Gençlerbirliği,A,4-2-3-1,4-1-4-1,0,André Onana,Wagner Pina,Stefan Savić,Arseniy Batagov,Arif Boşluk,Benjamin Bouchouari,Ozan Tufan,Oleksandr Zubkov,Ernest Muçi,Danylo Sikan,Felipe Augusto,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Tom Dele-Bashiru,Göktan Gürpüz,Oğulcan Ülgün,Franco Tongya,Metehan Mimaroğlu,Sekou Koita,6.5,6.0,6.2,7.2,5.7,6.5,6.2,6.9,7.6,5.9,7.9,6.7,6.1,7.5,5.9,5.8,6.4,8.0,8.7,7.3,6.9,8.1,3,4,3,14,6,458,18,5,0.63,4,18,6,261,12,15,0.37
Trabzonspor,Beşiktaş JK,H,4-2-3-1,4-1-4-1,1,André Onana,Ozan Tufan,Serdar Saatçı,Arseniy Batagov,Mustafa Eskihellaç,Christ Inao Oulaï,Tim Jabol-Folcarelli,Oleksandr Zubkov,Ernest Muçi,Kazeem Olaigbe,Felipe Augusto,Ersin Destanoğlu,Gökhan Sazdağı,Gabriel Paulista,Tiago Djaló,Emirhan Topçu,Wilfred Ndidi,Milot Rashica,Václav Černý,Orkun Kökçü,El Bilal Touré,Tammy Abraham,6.1,6.9,5.9,7.0,5.7,7.6,6.9,8.7,7.5,6.2,6.6,7.2,5.8,6.5,6.3,6.1,6.9,7.1,8.5,6.7,5.9,7.3,3,3,1,34,7,601,13,8,0.76,4,9,1,195,18,7,0.24
Trabzonspor,Göztepe,A,4-2-3-1,3-4-1-2,3,André Onana,Wagner Pina,Serdar Saatçı,Arseniy Batagov,Mustafa Eskihellaç,Ozan Tufan,Tim Jabol-Folcarelli,Oleksandr Zubkov,Ernest Muçi,Kazeem Olaigbe,Paul Onuachu,Mateusz Lis,Taha Altıkardeş,Héliton,Malcom Bokele,Arda Kurtulan,Anthony Junior Dennis,Novatus Miroshi,Amine Cherni,Efkan Bekiroğlu,Janderson,Juan Santos da Silva,6.9,6.5,7.4,7.2,7.0,7.3,6.8,7.1,8.7,6.6,7.5,6.9,6.4,5.9,6.4,6.5,7.6,6.6,6.0,6.4,6.0,7.1,2,1,2,18,4,396,18,19,0.62,3,21,7,227,12,7,0.38
Trabzonspor,Konyaspor,H,4-2-3-1,4-1-4-1,3,André Onana,Wagner Pina,Okay Yokuşlu,Arseniy Batagov,Mustafa Eskihellaç,Christ Inao Oulaï,Benjamin Bouchouari,Oleksandr Zubkov,Ernest Muçi,Kazeem Olaigbe,Paul Onuachu,Bahadır Han Güngördü,Yhoan Andzouana,Uğurcan Yazğılı,Muzaffer Utku Eriş,Guilherme Haubert Sityá,Jo Jin-ho,Jackson Muleka,Melih İbrahimoğlu,Morten Bjorlo,Enis Bardhi,Umut Nayir,6.7,7.4,7.4,7.1,6.7,6.6,6.6,7.8,7.8,6.8,8.5,5.7,6.8,6.8,5.9,5.8,7.1,6.3,6.3,6.5,6.0,8.2,3,1,4,19,3,446,14,12,0.53,4,16,3,399,26,15,0.47
Trabzonspor,Başakşehir FK,A,4-2-3-1,4-2-3-1,3,,,,,,,,,,,,,,,,,,,,,,,6.2,6.4,7.7,6.5,6.2,6.8,6.5,7.6,7.0,6.6,7.0,9.5,6.5,5.9,6.1,3.0,6.4,6.9,6.6,7.1,6.8,6.9,4,3,5,22,10,433,12,14,0.64,2,9,1,244,19,10,0.36
Trabzonspor,Alanyaspor,H,4-2-3-1,3-4-2-1,1,André Onana,Wagner Pina,Rayyan Baniya,Okay Yokuşlu,Mustafa Eskihellaç,Christ Inao Oulaï,Tim Jabol-Folcarelli,Oleksandr Zubkov,Felipe Augusto,Kazeem Olaigbe,Paul Onuachu,Ertuğrul Taşkıran,Nuno Lima,Fidan Aliti,Ümit Akdağ,Florent Hadergjonaj,Gaius Makouta,Maestro,Ruan,Meschack Elia,Ianis Hagi,Ui-Jo Hwang,7.0,7.3,6.8,7.0,6.6,6.6,6.6,7.6,6.5,6.6,7.5,6.7,6.8,6.7,6.9,6.9,7.1,6.8,6.3,6.6,7.4,6.6,1,1,4,16,1,536,12,10,0.59,1,24,7,370,10,13,0.41
Trabzonspor,Galatasaray,A,4-2-3-1,4-2-3-1,1,André Onana,Wagner Pina,Stefan Savić,Arseniy Batagov,Mustafa Eskihellaç,Christ Inao Oulaï,Tim Jabol-Folcarelli,Oleksandr Zubkov,Felipe Augusto,Ernest Muçi,Paul Onuachu,Uğurcan Çakır,Roland Sallai,Mario Lemina,Abdülkerim Bardakcı,Eren Elmalı,Lucas Torreira,Gabriel Sara,Leroy Sané,Yunus Akgün,Barış Alper Yılmaz,Victor Osimhen,8.0,7.4,7.2,7.6,7.2,7.0,6.6,6.9,5.8,6.7,6.1,7.2,7.4,7.7,7.5,7.2,7.1,7.2,7.2,6.7,6.5,6.7,0,0,0,9,4,289,15,12,0.42,3,23,8,397,12,9,0.58
Trabzonspor,Eyüpspor,H,4-2-3-1,4-2-3-1,3,André Onana,Wagner Pina,Stefan Savić,Arseniy Batagov,Mustafa Eskihellaç,Christ Inao Oulaï,Tim Jabol-Folcarelli,Oleksandr Zubkov,Felipe Augusto,Ernest Muçi,Paul Onuachu,Marcos Felipe,Calegari,Robin Yalçın,Luccas Claro,Nihad Mujakić,Kerem Demirbay,Mateusz Łęgowski,Halil Akbunar,Yalçın Kayan,Serdar Gürler,Mame Thiam,8.5,7.6,7.4,7.1,8.0,7.9,7.6,6.9,7.3,6.9,5.5,7.0,6.8,6.5,6.5,7.0,6.4,6.0,7.2,6.2,6.4,6.5,2,0,3,14,8,460,14,12,0.56,2,10,3,356,18,18,0.44
Trabzonspor,Çaykur Rizespor,A,4-2-3-1,4-2-3-1,3,André Onana,Wagner Pina,Stefan Savić,Arseniy Batagov,Mustafa Eskihellaç,Tim Jabol-Folcarelli,Okay Yokuşlu,Felipe Augusto,Christ Inao Oulaï,Kazeem Olaigbe,Paul Onuachu,Yahia Fofana,Taha Şahin,Attila Mocsi,Samet Akaydın,Casper Højer,Qazim Laci,Giannis Papanikolaou,Jesurun Rak-Sakyi,Muhamed Buljubašić,Emrecan Bulut,Václav Jurečka,7.3,7.1,7.6,6.7,6.6,7.0,6.4,7.9,7.0,6.2,7.6,6.7,7.0,6.3,6.8,6.4,6.9,7.2,7.9,6.3,6.0,6.5,2,1,1,8,0,400,16,18,0.45,3,22,7,466,19,8,0.55
